country,trust,business,gdppc,region
Argentina,-28,168,17554.119067691,S. America
Bangladesh,-15,129,1776.89282453484,Asia
Bolivia,-44,155,5099.09217996094,S. America
Brazil,-52,130,11639.7194954807,S. America
Britain,30,7,35656.9565075244,Europe
Bulgaria,-9,66,14825.0771657591,Europe
Canada,47,17,40369.5851161718,N. America
Chile,-56,37,17310.2800735025,S. America
China,78,91,8400.16260969792,Asia
Czech Rep.,-18,65,26207.6874532862,Europe
Egypt,21,109,6280.99463624316,Middle East
Ethiopia,-5,127,1108.87789464894,Sub-Saharan Africa
France,-23,34,35245.6079040649,Europe
Germany,4,20,39491.0260257692,Europe
Ghana,-26,64,1871.14094809382,Sub-Saharan Africa
India,7,132,3627.14341118417,Asia
Indonesia,18,128,4636.19678834347,Asia
Israel,-31,38,27824.8829745345,Middle East
Italy,-26,73,32647.4649463297,Europe
C̫te d'Ivoire,-14,177,1789.36129264033,Sub-Saharan Africa
Japan,-16,24,34313.5804900522,Asia
Jordan,2,106,5966.03602904957,Middle East
Kenya,-87,121,1709.50812446534,Sub-Saharan Africa
Kuwait,-76,82,54282.5861421787,Middle East
Lebanon,-57,115,14608.6694472067,Middle East
Malaysia,13,12,16050.9137705718,Asia
Mali,-16,151,1091.11012833182,Sub-Saharan Africa
Mexico,-6,48,15266.2097793612,N. America
Morocco,-10,97,4952.4368731,Middle East
Nigeria,-55,131,2533.05299394733,Sub-Saharan Africa
Pakistan,25,107,2744.83233934761,Asia
Peru,-56,43,10233.9466428683,S. America
Poland,-7,55,21260.5863057129,Europe
Russia,5,112,21245.9248859672,Europe
South Africa,-31,39,10959.7417065231,Sub-Saharan Africa
South Korea,-8,8,30286.1443265803,Asia
Senegal,-55,166,1967.1329427994,Sub-Saharan Africa
Slovakia,-17,46,23910.3901606441,Europe
Spain,-23,44,32044.6181153156,Europe
Sweden,82,13,41467.4196021543,Europe
Tanzania,-33,134,1512.4885492,Sub-Saharan Africa
Turkey,-27,71,17110.1200448083,Europe
Uganda,-63,120,1344.9193805938,Sub-Saharan Africa
Ukraine,-8,137,7208.0899576188,Europe
United States,12,4,48111.9669095909,N. America
Venezuela,-2,180,12748.7408127178,S. America
